"url","lastAccess","title","fromSitemap"
"https://www.tartley.com/categories/meetup/","16.08.2023","Posts about meetup | tartley.com","YES"
"https://www.tartley.com/posts/structured-pattern-matching-in-python/","15.08.2023","Structured Pattern Matching in Python | tartley.com","NO"
"https://www.tartley.com/index-22.html","13.08.2023","tartley.com (old posts, page 22) | tartley.com","YES"
"https://www.tartley.com/","12.08.2023","tartley.com","YES"
"https://www.tartley.com/categories/gig/","11.08.2023","Posts about gig | tartley.com","YES"
"https://www.tartley.com/posts/oceans13/","11.08.2023","Ocean's 13 | tartley.com","YES"
"https://www.tartley.com/archive.html","11.08.2023","Archive | tartley.com","YES"
"https://www.tartley.com/posts/hexagonal-django/","10.08.2023","Hexagonal Django | tartley.com","YES"
"https://www.tartley.com/posts/making-a-wix-installer-run-a-program-by-default/","10.08.2023","Making a wix installer run a program by default | tartley.com","YES"
"https://www.tartley.com/posts/journey/","01.08.2023","Journey | tartley.com","YES"
"https://www.tartley.com/posts/astroneer-resource-graph/","01.08.2023","Astroneer Resource Graph | tartley.com","YES"
"https://www.tartley.com/posts/subnautica-below-zero/","01.08.2023","Subnautica: Below Zero | tartley.com","YES"
"https://www.tartley.com/posts/openid-works/","31.07.2023","OpenID works! | tartley.com","YES"
"https://www.tartley.com/posts/infinite-jest/","31.07.2023","Infinite Jest | tartley.com","YES"
"https://www.tartley.com/?p=378","31.07.2023","tartley.com","NO"
"https://www.tartley.com/posts/using-assertalmostequals-to-compare-to-n-significant-figures/","28.07.2023","TIL: Using assertAlmostEquals to compare to N Significant Figures | tartley.com","YES"
"https://www.tartley.com/posts/la-science-des-reves/","26.07.2023","La Science des Rêves | tartley.com","YES"
"https://www.tartley.com/posts/evolved-for-suboptimal-decision-making/","22.07.2023","Evolved for suboptimal decision making? | tartley.com","YES"
"https://www.tartley.com/posts/broken-open-how-difficult-times-can-help-us-grow/","22.07.2023","Broken Open: How Difficult Times Can Help Us Grow | tartley.com","YES"
"https://www.tartley.com/posts/legend-of-zelda-the-phantom-hourglass/","21.07.2023","Legend of Zelda : The Phantom Hourglass | tartley.com","YES"
"https://www.tartley.com/posts/ur-fascism/","16.07.2023","Ur-Fascism | tartley.com","NO"
"https://www.tartley.com/posts/2d-graphics-with-pyglet-and-opengl/","13.07.2023","2D Graphics With pyglet and OpenGL | tartley.com","YES"
"https://www.tartley.com/posts/a-guide-to-git-using-spatial-analogies/","11.07.2023","A Guide to GIT using spatial analogies | tartley.com","YES"
"https://www.tartley.com/categories/guest-blogger/","09.07.2023","Posts about guest-blogger | tartley.com","YES"
"https://www.tartley.com/posts/ah-the-strangeness-of-chance/","09.07.2023","Ah... the strangeness of chance | tartley.com","YES"
"https://www.tartley.com/posts/disastrous-uk-government-it-projects/","09.07.2023","Disastrous UK Government IT Projects | tartley.com","YES"
"https://www.tartley.com/posts/resolver-one-10/","09.07.2023","Resolver One 1.0 | tartley.com","YES"
"https://www.tartley.com/index-6.html","09.07.2023","tartley.com (old posts, page 6) | tartley.com","YES"
"https://www.tartley.com/index-7.html","09.07.2023","tartley.com (old posts, page 7) | tartley.com","YES"
"https://www.tartley.com/posts/makefiles-that-are-self-documenting-and-process-all-extant-files/","09.07.2023","TIL: Makefiles that are self-documenting, and process all extant files. | tartley.com","YES"
"https://www.tartley.com/posts/rerun-unit-tests-whenever-files-update/","09.07.2023","Rerun unit tests whenever files update | tartley.com","YES"
"https://www.tartley.com/posts/a-case-for-forward-error-correction/","09.07.2023","A Case for Forward Error Correction | tartley.com","YES"
"https://www.tartley.com/categories/tartleycom/","09.07.2023","Posts about tartley.com | tartley.com","YES"
"https://www.tartley.com/categories/testing/","09.07.2023","Posts about testing | tartley.com","YES"
"https://www.tartley.com/posts/here-comes-everybody/","09.07.2023","Here Comes Everybody | tartley.com","YES"
"https://www.tartley.com/categories/politics/","09.07.2023","Posts about politics | tartley.com","YES"
"https://www.tartley.com/posts/for-anyone-who-doesnt-know-yet/","09.07.2023","She said yes! | tartley.com","YES"
"https://www.tartley.com/index-12.html","09.07.2023","tartley.com (old posts, page 12) | tartley.com","YES"
"https://www.tartley.com/posts/and-e-keys-in-windows-on-a-us-laptop-keyboard-done-right/","09.07.2023","£ key in Windows on a US laptop keyboard, done right. | tartley.com","YES"
"https://www.tartley.com/categories/arcade/","09.07.2023","Posts about arcade | tartley.com","YES"
"https://www.tartley.com/posts/this-gaming-life-travels-in-three-cities/","09.07.2023","This Gaming Life: Travels in Three Cities | tartley.com","YES"
"https://www.tartley.com/posts/patent-this/","09.07.2023","Patent This | tartley.com","YES"
"https://www.tartley.com/posts/music-101c2be/","09.07.2023","Music 101¾ | tartley.com","YES"
"https://www.tartley.com/posts/thoughts-on-nylas-how-we-deploy-code/","09.07.2023","Thoughts on Nylas' ""How We Deploy Code"" | tartley.com","YES"
"https://www.tartley.com/posts/flying-high-hobbyist-opengl-from-python/","09.07.2023","Flying High: Hobbyist OpenGL from Python | tartley.com","YES"
"https://www.tartley.com/index-8.html","09.07.2023","tartley.com (old posts, page 8) | tartley.com","YES"
"https://www.tartley.com/categories/memoir/","09.07.2023","Posts about memoir | tartley.com","YES"
"https://www.tartley.com/posts/well-parallelise-your-long-running-test-suite-on-ec2/","09.07.2023","We'll parallelise your long-running test suite on EC2 | tartley.com","YES"
"https://www.tartley.com/posts/the-deluded-ramblings-of-a-rather-odd-person/","09.07.2023","The Deluded Ramblings of a Rather Odd Person | tartley.com","YES"
"https://www.tartley.com/posts/postscript-formatted-man-pages/","09.07.2023","Postscript formatted man pages | tartley.com","YES"
"https://www.tartley.com/categories/creative/","09.07.2023","Posts about creative | tartley.com","YES"
"https://www.tartley.com/posts/running-multiple-firefox-profiles/","09.07.2023","Running Multiple Firefox Profiles on Linux | tartley.com","YES"
"https://www.tartley.com/posts/opengl-programming-guide-6th-ed/","09.07.2023","OpenGL Programming Guide, 6th ed. | tartley.com","YES"
"https://www.tartley.com/posts/ed/","09.07.2023","Ed | tartley.com","YES"
"https://www.tartley.com/posts/testwatcher/","09.07.2023","Testwatcher | tartley.com","YES"
"https://www.tartley.com/posts/solveduk-digital-economy-bill/","09.07.2023","[SOLVED]UK Digital Economy Bill | tartley.com","YES"
"https://www.tartley.com/posts/encrypted-zip-files-on-osx/","09.07.2023","Encrypted zip files on OSX | tartley.com","YES"
